promise_id,party,year,page_number,manifesto_section,promise_text
BJP_2014_0023,BJP,2014,0,Governance & Anti-Corruption,"We will take measures for safety of North-Eastern students studying across the country, including setting up Hostels."
BJP_2014_0024,BJP,2014,0,Defence & Security,We will deal with Insurgent groups with a firm hand.
BJP_2014_0025,BJP,2014,0,Rural Development,"We will pursue equal and rapid development in Jammu, Kashmir and Ladakh."
BJP_2014_0026,BJP,2014,0,Social Justice & Minorities,"We will ensure return of Kashmiri Pandits with full dignity, security and assured livelihood."
BJP_2014_0027,BJP,2014,0,Foreign Policy,We will address long pending problems and demands of refugees from POK.
BJP_2014_0028,BJP,2014,0,Foreign Policy,We will abrogate Article 370 after discussing with all stakeholders.
BJP_2014_0029,BJP,2014,0,Governance & Anti-Corruption,We will provide good governance in the Kashmir valley.
BJP_2014_0030,BJP,2014,0,Infrastructure,We will provide better infrastructure in the Kashmir valley.
BJP_2014_0031,BJP,2014,0,Education,We will provide educational opportunities in the Kashmir valley.
BJP_2014_0032,BJP,2014,0,Health,We will provide healthcare in the Kashmir valley.
BJP_2014_0033,BJP,2014,0,Labour & Employment,We will provide more job opportunities in the Kashmir valley.
BJP_2014_0034,BJP,2014,0,Governance & Anti-Corruption,We will do full justice to Seemandhra and address issues of development and governance of Seemandhra and Telangana.
BJP_2014_0035,BJP,2014,0,Governance & Anti-Corruption,We will make people active drivers of development through Jan bhagidari.
BJP_2014_0036,BJP,2014,0,Governance & Anti-Corruption,We will evolve PPP model into People-Public-Private Partnership (PPPP) model.
BJP_2014_0037,BJP,2014,0,Governance & Anti-Corruption,We will empower Panchayati Raj Institutions with extensive devolution of the 3 Fs.
BJP_2014_0038,BJP,2014,0,Rural Development,We will reward good performing Panchayats with additional developmental grants.
BJP_2014_0039,BJP,2014,0,Governance & Anti-Corruption,We will strengthen the institution of the Gram Sabha.
BJP_2014_0040,BJP,2014,0,Governance & Anti-Corruption,We will actively involve people in policy formulation and evaluation.
BJP_2014_0041,BJP,2014,0,Governance & Anti-Corruption,"We will encourage Openness in Government, involving all stakeholders in decision-making."
BJP_2014_0042,BJP,2014,0,Governance & Anti-Corruption,We will implement administrative reforms through an appropriate body under the PMO.
BJP_2014_0043,BJP,2014,0,Governance & Anti-Corruption,We will set-up an effective Lokpal institution.
BJP_2014_0044,BJP,2014,0,Governance & Anti-Corruption,We will digitize Government records on top priority.
BJP_2014_0045,BJP,2014,0,Governance & Anti-Corruption,"We will mandate performance review, social and environment audit for all Government schemes."
BJP_2014_0046,BJP,2014,0,Governance & Anti-Corruption,"We will open up Government to draw expertise from industry, academia and society."
BJP_2014_0047,BJP,2014,0,Governance & Anti-Corruption,"We will redefine government by elimination of obsolete laws, regulations, structures, and practices."
BJP_2014_0048,BJP,2014,0,Governance & Anti-Corruption,We will generate 'Kartavya Bhavna' among public servants.
BJP_2014_0049,BJP,2014,0,Infrastructure,We will focus on increasing penetration and usage of broadband across the country.
BJP_2014_0050,BJP,2014,0,Rural Development,We will deploy broadband in every village.
BJP_2014_0051,BJP,2014,0,Governance & Anti-Corruption,We will leverage technology for e-Governance and engage proactively with people through social media.
BJP_2014_0052,BJP,2014,0,Labour & Employment,We will generate IT based jobs in rural and semi-urban areas.
BJP_2014_0053,BJP,2014,0,Education,We will make technology enabled products affordable for students.
BJP_2014_0054,BJP,2014,0,Education,We will use technology to reduce the burden of books on children.
BJP_2014_0055,BJP,2014,0,Education,We will make all institutions and schools e-enabled in a phased manner.
BJP_2014_0056,BJP,2014,0,Rural Development,"We will pursue a mission mode project under 'National Rural Internet and Technology Mission' for telemedicine, mobile healthcare, IT for agriculture, SHGs, retail trade, SMEs, and rural entrepreneurs."
BJP_2014_0057,BJP,2014,0,Governance & Anti-Corruption,We will initiate a National e-Governance Plan to cover every Government office from centre to panchayats.
BJP_2014_0058,BJP,2014,0,Rural Development,"We will implement 'E-Gram, Vishwa Gram' scheme nationwide."
BJP_2014_0059,BJP,2014,0,Education,We will promote e-Bhasha- National Mission for promotion of IT in Indian Languages.
BJP_2014_0060,BJP,2014,0,SC/ST/OBC,"We will bring SC/ST, OBCs and weaker sections within the ambit of IT enabled development."
BJP_2014_0061,BJP,2014,0,Other,"We will deploy IT to protect cultural and artistic heritage, including digitization of archives and museology."
BJP_2014_0062,BJP,2014,0,Other,We will promote 'open source' and 'open standard' software.
BJP_2014_0063,BJP,2014,0,Governance & Anti-Corruption,We will mandate digitization of all government work.
BJP_2014_0064,BJP,2014,0,Infrastructure,We will set up High-speed digital highways to unite the nation.
BJP_2014_0065,BJP,2014,0,Energy & Environment,We will use technology to reduce Transmission and distribution losses.
BJP_2014_0066,BJP,2014,0,Economy & Finance,We will use mobile and e-Banking to ensure financial inclusion.
BJP_2014_0067,BJP,2014,0,Governance & Anti-Corruption,We will make administration truly accountable through rigorous evaluation.
BJP_2014_0068,BJP,2014,0,Governance & Anti-Corruption,We will reward good performance in administration.
BJP_2014_0069,BJP,2014,0,Governance & Anti-Corruption,We will rationalize and converge among Ministries and departments.
BJP_2014_0070,BJP,2014,0,Youth & Sports,We will tap services of youth through Fellowship and Internship programmes in governance.
BJP_2014_0071,BJP,2014,0,Governance & Anti-Corruption,"We will accord high priority to judicial reforms to address appointment of judges, filling vacancies, and opening new courts."
BJP_2014_0072,BJP,2014,0,Governance & Anti-Corruption,We will initiate a mission mode project for filling vacancies and doubling the number of courts and judges in subordinate judiciary.
BJP_2014_0073,BJP,2014,0,Governance & Anti-Corruption,We will set up a National Judicial Commission for appointment of judges in higher judiciary.
BJP_2014_0074,BJP,2014,0,Governance & Anti-Corruption,We will create a fund for modernization of courts.
BJP_2014_0075,BJP,2014,0,Governance & Anti-Corruption,We will set up a separate class of courts for cases involving specified commercial laws.
BJP_2014_0076,BJP,2014,0,Governance & Anti-Corruption,We will reform the criminal justice system.
BJP_2014_0077,BJP,2014,0,Governance & Anti-Corruption,We will initiate computerization and networking of courts.
BJP_2014_0078,BJP,2014,0,Governance & Anti-Corruption,We will extend fast track courts to all layers of the judiciary.
BJP_2014_0079,BJP,2014,0,Governance & Anti-Corruption,We will expand alternative dispute redressal mechanisms.
BJP_2014_0080,BJP,2014,0,Governance & Anti-Corruption,We will implement National Litigation Policy.
BJP_2014_0081,BJP,2014,0,Governance & Anti-Corruption,We will review and reduce significantly the number of cases where Government is a litigant.
BJP_2014_0082,BJP,2014,0,Governance & Anti-Corruption,We will periodically review and refine or scrap outdated laws.
BJP_2014_0083,BJP,2014,0,Governance & Anti-Corruption,We will create courts specially equipped to deal with IPR cases.
BJP_2014_0084,BJP,2014,0,Governance & Anti-Corruption,We will give special emphasis to Alternate Dispute Resolution mechanisms.
BJP_2014_0085,BJP,2014,0,Education,We will set up a comprehensive National e-Library.
BJP_2014_0086,BJP,2014,0,Women & Child Development,We will enhance the number of women in the Bar and Bench.
BJP_2014_0087,BJP,2014,0,Education,We will evolve a national network of specialized universities having expertise in complementary domains.
BJP_2014_0088,BJP,2014,0,Economy & Finance,We will develop India into a Global Hub for Arbitration and Legal Process Outsourcing.
BJP_2014_0089,BJP,2014,0,Governance & Anti-Corruption,We will undertake comprehensive review of the legal system to simplify complex legislations.
BJP_2014_0090,BJP,2014,0,Governance & Anti-Corruption,We will establish an institutional mechanism to periodically review and give suggestions for refining laws.
BJP_2014_0091,BJP,2014,0,Governance & Anti-Corruption,We will simplify legal procedure and language.
BJP_2014_0092,BJP,2014,0,Governance & Anti-Corruption,We will make legal information open and freely accessible.
BJP_2014_0093,BJP,2014,0,Education,We will run legal awareness programmes and introduce them in school curriculum.
BJP_2014_0094,BJP,2014,0,Governance & Anti-Corruption,We will roll out a comprehensive strategy for bringing Indian Police at par with international standards.
BJP_2014_0095,BJP,2014,0,Governance & Anti-Corruption,We will facilitate training and capacity building of Police forces.
BJP_2014_0096,BJP,2014,0,Governance & Anti-Corruption,"We will modernize the police force, equipping them with latest technology."
BJP_2014_0097,BJP,2014,0,Governance & Anti-Corruption,We will initiate networking of police stations across the country.
BJP_2014_0098,BJP,2014,0,Governance & Anti-Corruption,"We will strengthen Investigations to make them Swift, Transparent, Fair, Clear and Decisive."
BJP_2014_0099,BJP,2014,0,Governance & Anti-Corruption,We will develop specialized expertise in investigation through continuous training.
BJP_2014_0100,BJP,2014,0,Defence & Security,We will overhaul intelligence set up with special focus on coordination and integration.
BJP_2014_0101,BJP,2014,0,Infrastructure,We will modernize Prison system with technology and infrastructure.
BJP_2014_0102,BJP,2014,0,Governance & Anti-Corruption,We will work towards evolving common national standards and protocols for police.
BJP_2014_0103,BJP,2014,0,Defence & Security,"We will train and technologically enable police to track, pursue, and prevent Cyber Crime."
BJP_2014_0104,BJP,2014,0,Foreign Policy,We will bring Coastal States together to discuss Marine Policing.
BJP_2014_0105,BJP,2014,0,Governance & Anti-Corruption,We will reinterpret community policing in modern times to build bonds of trust.
BJP_2014_0106,BJP,2014,0,Labour & Employment,We will give special emphasis for improving working conditions and welfare of police personnel.
BJP_2014_0107,BJP,2014,0,Governance & Anti-Corruption,We will initiate electoral reforms to eliminate criminals.
BJP_2014_0108,BJP,2014,0,Governance & Anti-Corruption,We will evolve a method of holding Assembly and Lok Sabha elections simultaneously.
BJP_2014_0109,BJP,2014,0,Governance & Anti-Corruption,We will look at revising election expenditure limits realistically.
BJP_2014_0110,BJP,2014,0,Governance & Anti-Corruption,"We will strengthen Delivery of poverty alleviation programs through convergence, transparency and efficiency."
BJP_2014_0111,BJP,2014,0,Rural Development,We will identify 100 most backward districts and bring them at par with other districts through prioritized and integrated development.
BJP_2014_0112,BJP,2014,0,Rural Development,We will strengthen the natural resource base of the people to tide over natural calamities.
BJP_2014_0113,BJP,2014,0,Rural Development,We will aim to gainfully employ rural poor in agriculture and allied activities.
BJP_2014_0114,BJP,2014,0,Labour & Employment,We will enable the urban poor to develop skills to take advantage of emerging opportunities.
BJP_2014_0115,BJP,2014,0,Governance & Anti-Corruption,"We will facilitate partnership across all levels of government, civil society, academic and financial institutions for poverty alleviation."
BJP_2014_0116,BJP,2014,0,Governance & Anti-Corruption,We will review all laws and schemes to ensure corruption-free efficient implementation of food security.
BJP_2014_0117,BJP,2014,0,Governance & Anti-Corruption,We will review successful PDS models and incorporate best practices to revise existing PDS.
BJP_2014_0118,BJP,2014,0,Health,We will address the issue of under-nutrition and malnutrition.
BJP_2014_0119,BJP,2014,0,Agriculture,"We will encourage the production of cereals, pulses and oils."
BJP_2014_0120,BJP,2014,0,Agriculture,We will radically transform the Food Corporation of India (FCI).
BJP_2014_0121,BJP,2014,0,Infrastructure,We will ensure contingency stocks for any exigencies arising due to natural calamities or external factors.
BJP_2014_0122,BJP,2014,0,Social Justice & Minorities,We will seek participation of voluntary organizations in running community kitchens.
BJP_2014_0123,BJP,2014,0,SC/ST/OBC,"We will create an ecosystem for education and entrepreneurship for SC, ST, OBCs and weaker sections."
BJP_2014_0124,BJP,2014,0,Social Justice & Minorities,We will eradicate untouchability at all levels.
BJP_2014_0125,BJP,2014,0,Social Justice & Minorities,We will eliminate manual scavenging.
BJP_2014_0126,BJP,2014,0,Social Justice & Minorities,We will look at more effective ways to pull deprived sections out of the poverty line.
BJP_2014_0127,BJP,2014,0,Governance & Anti-Corruption,"We will ensure funds allocated for schemes for SC, ST, OBCs and weaker sections are utilized properly."
BJP_2014_0128,BJP,2014,0,Social Justice & Minorities,"We will make a mission mode project for housing, education, health and skills development for SC, ST, OBCs and weaker sections."
BJP_2014_0129,BJP,2014,0,Women & Child Development,"We will focus on children, especially the girl child, regarding health, education and skills development in deprived sections."
BJP_2014_0130,BJP,2014,0,Rural Development,We will initiate a 'Van Bandhu Kalyan Yojna' at the national level overseen by a 'Tribal Development Authority'.
BJP_2014_0131,BJP,2014,0,Education,We will set up the entire education network for tribals.
BJP_2014_0132,BJP,2014,0,Rural Development,"We will upgrade housing, water and health facilities for tribals."
BJP_2014_0133,BJP,2014,0,Rural Development,We will electrify tribal hamlets and provide all-weather roads for tribals.
BJP_2014_0134,BJP,2014,0,Labour & Employment,We will initiate new economic activities for tribals.
BJP_2014_0135,BJP,2014,0,Rural Development,We will promote products associated with tribal culture by setting tribal haats in tourist towns.
BJP_2014_0136,BJP,2014,0,Rural Development,We will ensure tribal land is not alienated.
BJP_2014_0137,BJP,2014,0,Rural Development,We will facilitate access to minor forest produce and create a network of rural haats for tribals.
BJP_2014_0138,BJP,2014,0,Rural Development,We will establish the National Centre for Tribal Research and Culture.
BJP_2014_0139,BJP,2014,0,Rural Development,We will enhance funds for tribal welfare and development.
BJP_2014_0140,BJP,2014,0,Social Justice & Minorities,"We will ensure young, and girl child in particular, get education and jobs without discrimination in minority communities."
BJP_2014_0141,BJP,2014,0,Social Justice & Minorities,We will strengthen and modernize minority educational systems and institutions.
BJP_2014_0142,BJP,2014,0,Social Justice & Minorities,We will initiate National Madrasa modernization programme.
BJP_2014_0143,BJP,2014,0,Social Justice & Minorities,We will empower minorities with vibrancy in Livelihood and Entrepreneurial opportunities.
BJP_2014_0144,BJP,2014,0,Labour & Employment,We will augment traditional artisanship and entrepreneurial skill of minorities.
BJP_2014_0145,BJP,2014,0,Social Justice & Minorities,We will empower Waqf Boards in consultation with religious leaders and remove encroachments from Waqf properties.
BJP_2014_0146,BJP,2014,0,Social Justice & Minorities,"We will curate rich heritage and culture of minorities, including maintenance of heritage sites, digitization of archives, preservation and promotion of Urdu."
BJP_2014_0147,BJP,2014,0,Social Justice & Minorities,We will ensure a peaceful and secure environment for minorities.
BJP_2014_0148,BJP,2014,0,Social Justice & Minorities,We will facilitate setting up of a permanent Inter-faith Consultative mechanism.
BJP_2014_0149,BJP,2014,0,Governance & Anti-Corruption,We will strengthen the Public Sector for providing efficient services to citizens.
BJP_2014_0150,BJP,2014,0,Education,We will provide educational scholarships and facilities to neo-middle class.
BJP_2014_0151,BJP,2014,0,Health,We will provide medical insurance and quality healthcare services to neo-middle class.
BJP_2014_0152,BJP,2014,0,Urban Development,We will provide middle-income housing to neo-middle class.
BJP_2014_0153,BJP,2014,0,Urban Development,We will provide efficient public transport systems to neo-middle class.
BJP_2014_0154,BJP,2014,0,Rural Development,We will make and implement a full-fledged programme for 'Rural Rejuvenation'.
BJP_2014_0155,BJP,2014,0,Rural Development,We will bring urban amenities to rural areas while retaining the soul of the village through the idea of Rurban.
BJP_2014_0156,BJP,2014,0,Rural Development,"We will improve village level infrastructure in terms of roads, potable water, education, health, supply chain, electricity, broadband, job creation, security and linkage to markets."
BJP_2014_0157,BJP,2014,0,Urban Development,We will initiate building 100 new cities enabled with latest technology and infrastructure.
BJP_2014_0158,BJP,2014,0,Urban Development,We will base urban development approach on integrated habitat development building on concepts like Twin cities and Satellite towns.
BJP_2014_0159,BJP,2014,0,Urban Development,"We will upgrade existing urban centres, transitioning focus to public utility services like Waste and Water Management."
BJP_2014_0160,BJP,2014,0,Energy & Environment,We will give priority to Cleanliness and Sanitation by setting up efficient Waste and Water management systems.
BJP_2014_0161,BJP,2014,0,Urban Development,We will identify model towns for rolling out integrated waste management infrastructure.
BJP_2014_0162,BJP,2014,0,Urban Development,We will make Wi-Fi facilities available in public places and commercial centres in urban areas.
BJP_2014_0163,BJP,2014,0,Urban Development,We will make urban poverty alleviation scheme a key thrust area.
BJP_2014_0164,BJP,2014,0,Urban Development,"We will use technology for scientific, strategic and long term town planning including GIS based mapping."
BJP_2014_0165,BJP,2014,0,Urban Development,"We will build quality integrated Public Transport systems, discouraging usage of private vehicles."
BJP_2014_0166,BJP,2014,0,Social Justice & Minorities,We will make social security schemes more meaningful.
BJP_2014_0167,BJP,2014,0,Social Justice & Minorities,"We will lay special emphasis on vulnerable children including those belonging to SCs, STs, OBCs, migrants, slum dwellers, and those with disabilities."
BJP_2014_0168,BJP,2014,0,Education,We will ensure effective implementation of the Right to Education and Right to Food Security Act.
BJP_2014_0169,BJP,2014,0,Women & Child Development,"We will review, amend and strengthen the Child and Adolescent Labour (Prohibition and Regulation) Act, 2012 and Integrated Child Protection Scheme (ICPS)."
BJP_2014_0170,BJP,2014,0,Health,We will make focused efforts to address issue of anaemia in children.
BJP_2014_0171,BJP,2014,0,Education,We will reduce the burden of books on children without compromising on quality of education.
BJP_2014_0172,BJP,2014,0,Social Justice & Minorities,We will endeavour to inculcate values amongst children.
BJP_2014_0173,BJP,2014,0,Women & Child Development,"We will provide financial support to senior citizens, exploring ideas like additional tax benefits and higher interest rates."
BJP_2014_0174,BJP,2014,0,Health,We will invest in setting up and improving old-age homes.
BJP_2014_0175,BJP,2014,0,Social Justice & Minorities,We will harness the experience of senior citizens by devising schemes to engage them as volunteers or part time workers in development programmes.
BJP_2014_0176,BJP,2014,0,Social Justice & Minorities,We will enact the 'Rights of the Persons with Disabilities bill' (RPWD).
BJP_2014_0177,BJP,2014,0,Education,We will use technology to deliver low cost quality education to specially-abled students 'in-home' through E-learning.
BJP_2014_0178,BJP,2014,0,Health,We will identify each special needs person and establish a web based disability registration system to issue universal ID.
BJP_2014_0179,BJP,2014,0,Social Justice & Minorities,"We will ensure disabled friendly access to public facilities, public buildings and transport."
BJP_2014_0180,BJP,2014,0,Labour & Employment,We will ensure maximum economic independence of the disabled by creating more income generation models.
BJP_2014_0181,BJP,2014,0,Health,We will support and aid voluntary organizations working for the care of the disabled.
BJP_2014_0182,BJP,2014,0,Women & Child Development,We will provide a higher tax relief for the family member taking care of the disabled.
BJP_2014_0183,BJP,2014,0,Youth & Sports,We will review and revise policies to seek participation of youth in decision-making and nation building.
BJP_2014_0184,BJP,2014,0,Youth & Sports,We will initiate the 'Young Leaders programme' in all sectors.
BJP_2014_0185,BJP,2014,0,Youth & Sports,We will set up the National Youth Advisory Council.
BJP_2014_0186,BJP,2014,0,Labour & Employment,We will initiate nation-wide 'district level incubation and accelerator programme' for encouraging innovation and entrepreneurship.
BJP_2014_0187,BJP,2014,0,Education,We will simplify procedure to avail Student's loans and make loans affordable.
BJP_2014_0188,BJP,2014,0,Youth & Sports,We will set up neighbourhood Children's/Youth Parliament across India.
BJP_2014_0189,BJP,2014,0,Youth & Sports,"We will launch a programme, 'Youth for Development'."
BJP_2014_0190,BJP,2014,0,Youth & Sports,We will promote all sports- traditional and modern.
BJP_2014_0191,BJP,2014,0,Youth & Sports,We will allocate more funds to sports and encourage State Governments to fully discharge their responsibility.
BJP_2014_0192,BJP,2014,0,Youth & Sports,We will inculcate a culture of sports at the school level by arranging sports facilities and making sports a compulsory part of the school curriculum.
BJP_2014_0193,BJP,2014,0,Youth & Sports,We will launch a 'National Sports Talent Search System'.
BJP_2014_0194,BJP,2014,0,Youth & Sports,We will broaden existing rural sports programme and National Women Sports Festival to reach every village.
BJP_2014_0195,BJP,2014,0,Youth & Sports,"We will plan attractive career path for sportspersons providing security of career through jobs in government, PSUs and private sector."
BJP_2014_0196,BJP,2014,0,Youth & Sports,We will establish sports academies across the country.
BJP_2014_0197,BJP,2014,0,Youth & Sports,We will devise special scheme for sportspersons to ensure social security.
BJP_2014_0198,BJP,2014,0,Youth & Sports,We will encourage business houses to patronize sports and sportspersons.
BJP_2014_0199,BJP,2014,0,Youth & Sports,We will mandate all new housing colonies to include sports facilities.
BJP_2014_0200,BJP,2014,0,Women & Child Development,We will accord high priority to Women's Empowerment and welfare at all levels within the government.
BJP_2014_0201,BJP,2014,0,Social Justice & Minorities,We will commit to 33% reservation in parliamentary and state assemblies through a constitutional amendment.
BJP_2014_0202,BJP,2014,0,Women & Child Development,We will launch a national campaign for saving the girl child and educating her- Beti Bachao- Beti Padhao.
BJP_2014_0203,BJP,2014,0,Women & Child Development,We will structure a comprehensive scheme incorporating best practices to support and encourage positive attitude towards the girl child.
BJP_2014_0204,BJP,2014,0,Women & Child Development,"We will implement program for women healthcare in a mission mode, focusing on Nutrition and Pregnancy."
BJP_2014_0205,BJP,2014,0,Women & Child Development,We will enable women with training and skills by setting up dedicated Women ITIs and Women wings in other ITIs.
BJP_2014_0206,BJP,2014,0,Social Justice & Minorities,"We will strictly implement laws related to women, particularly those related to rape."
BJP_2014_0207,BJP,2014,0,Social Justice & Minorities,We will clear the unused Fund for relief and rehabilitation of rape victims on priority.
BJP_2014_0208,BJP,2014,0,Social Justice & Minorities,We will create an Acid Attack victims welfare fund.
BJP_2014_0209,BJP,2014,0,Women & Child Development,We will make police stations women friendly and increase the number of women in police.
BJP_2014_0210,BJP,2014,0,Youth & Sports,We will introduce self defence as a part of the school curriculum.
BJP_2014_0211,BJP,2014,0,Women & Child Development,We will use information technology for women's safety.
BJP_2014_0212,BJP,2014,0,Women & Child Development,We will set up an All Women Mobile Bank.
BJP_2014_0213,BJP,2014,0,Women & Child Development,We will provide special skills training and business incubator park for women.
BJP_2014_0214,BJP,2014,0,Labour & Employment,We will set up special business facilitation center for women.
BJP_2014_0215,BJP,2014,0,Women & Child Development,We will expand and improve the network of women/working women hostels.
BJP_2014_0216,BJP,2014,0,Labour & Employment,We will set up a dedicated W-SME cluster in every district.
BJP_2014_0217,BJP,2014,0,Labour & Employment,We will review working conditions and enhance remuneration of Anganwadi workers.
BJP_2014_0218,BJP,2014,0,Social Justice & Minorities,"We will remove any remaining gender disparities in property rights, marital rights and cohabitation rights."
BJP_2014_0219,BJP,2014,0,Social Justice & Minorities,"We will start special adult literacy initiative for women with focus on SCs, STs, OBCs, and slum residents."
BJP_2014_0220,BJP,2014,0,Women & Child Development,We will ensure loans to Women Self Help Groups are available at low interest rates.
BJP_2014_0221,BJP,2014,0,Social Justice & Minorities,"We will implement special programs aimed at girls below poverty line, tribals and indigent women."
BJP_2014_0222,BJP,2014,0,Social Justice & Minorities,"We will take appropriate measures to check female foeticide, dowry, child marriage, trafficking, sexual harassment, rape and family violence."
BJP_2014_0223,BJP,2014,0,Women & Child Development,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home."
BJP_2014_0224,BJP,2014,0,Education,"We will review and revise education system, salary structures for teaching staff, and address shortfall of faculty."
BJP_2014_0225,BJP,2014,0,Education,We will raise public spending on education to 6% of the GDP.
BJP_2014_0226,BJP,2014,0,Education,We will set up mechanism for performance audit and real time information of 'Sarva Shiksha Abhiyan'.
BJP_2014_0227,BJP,2014,0,Education,We will strengthen and expand 'Sarva Shiksha Abhiyan' with a goal to remove illiteracy.
BJP_2014_0228,BJP,2014,0,Education,We will universalize secondary school education and skills development through functional school.
BJP_2014_0229,BJP,2014,0,Education,We will thoroughly review the content and process of school education.
BJP_2014_0230,BJP,2014,0,Women & Child Development,We will provide all possible help to girls to continue and complete school education.
BJP_2014_0231,BJP,2014,0,Education,We will ensure the digital divide does not create further divisions in learning situations.
BJP_2014_0232,BJP,2014,0,Education,We will develop special pedagogy for differently-abled students.
BJP_2014_0233,BJP,2014,0,Social Justice & Minorities,We will start a national modernization programme for madrasas on priority.
BJP_2014_0234,BJP,2014,0,Health,We will revitalize mid-day meal scheme in terms of management and delivery.
BJP_2014_0235,BJP,2014,0,Education,"We will explore ways to reduce the daily burden of carrying books to school, including use of technology."
BJP_2014_0236,BJP,2014,0,Education,We will establish a national E-Library to empower school teachers and students.
BJP_2014_0237,BJP,2014,0,Youth & Sports,We will initiate a multi-country student exchange programme for school going children.
BJP_2014_0238,BJP,2014,0,Youth & Sports,We will recognize and encourage creative talents of students.
BJP_2014_0239,BJP,2014,0,Education,We will enhance the pivotal role of teachers by reworking the work culture of teacher training institutions.
BJP_2014_0240,BJP,2014,0,Education,We will ensure optimum utilization of physical and man power resources in higher education.
BJP_2014_0241,BJP,2014,0,Education,"We will institute a mechanism for close interaction between industry, academia and community in higher education."
BJP_2014_0242,BJP,2014,0,Education,We will do needs assessment exercise for identifying future needs across sectors to develop appropriate courses.
BJP_2014_0243,BJP,2014,0,Education,We will provide autonomy with steps to ensure accountability for institutions of higher learning.
BJP_2014_0244,BJP,2014,0,Education,We will raise the standard of education and research so Indian universities become at par with top global universities.
BJP_2014_0245,BJP,2014,0,Governance & Anti-Corruption,We will restore credibility of regulatory bodies and make appointments to senior positions transparent and merit-based.
BJP_2014_0246,BJP,2014,0,Education,We will restructure UGC and transform it into a Higher Education Commission.
BJP_2014_0247,BJP,2014,0,Labour & Employment,We will revisit the Apprenticeship Act to facilitate youth to Earn while they Learn.
BJP_2014_0248,BJP,2014,0,Education,We will set up Massive Open Online Courses (MOOC) and virtual classrooms.
BJP_2014_0249,BJP,2014,0,Women & Child Development,"We will start correspondence courses in new domains for self-employment, family run businesses, entrepreneurship and innovation, provided free to women."
BJP_2014_0250,BJP,2014,0,Education,We will set up a National Commission on Education to report in two years.
BJP_2014_0251,BJP,2014,0,Education,We will implement a National Education Policy based on the Commission's report.
BJP_2014_0252,BJP,2014,0,Labour & Employment,We will take up skill development on a mission mode at an unprecedented scale.
BJP_2014_0253,BJP,2014,0,Labour & Employment,We will conduct Skill Mapping to scientifically plan national human resource development.
BJP_2014_0254,BJP,2014,0,Labour & Employment,We will launch a 'National Multi-skill Mission'.
BJP_2014_0255,BJP,2014,0,Labour & Employment,We will run short-term courses in the evenings focusing on employable skills.
BJP_2014_0256,BJP,2014,0,Economy & Finance,We will set up Centres of Excellence in various sectors in partnership with the Industry.
BJP_2014_0257,BJP,2014,0,Labour & Employment,"We will bring together industry, universities and government to ensure industry responsive manpower."
BJP_2014_0258,BJP,2014,0,Education,We will promote vocational training on a massive scale and establish a mechanism to give vocational qualifications of Academic Equivalence.
BJP_2014_0259,BJP,2014,0,Education,We will create institutional mechanisms to refresh and upgrade abilities through continuing education.
